hcp_id,name,specialty,location,experience,rating,fee,degree_qual,kol_score,is_kol,kol_rank,latitude,longitude,degree_centrality,betweenness_centrality
1551,Duvvuru Susmitha Reddy,neurologist,Marathahalli,8,4.0,800,"MBBS, MD - General Medicine, DM - Neurology",0.3679873615829491,0,901,12.956102314138018,77.7112604,0.0,0.0
3361,Chetan Satish,plastic-surgeon,Yelahanka,24,3.5,750,"MBBS, MS - General Surgery, MCh - Plastic Surgery",0.3679649708951389,0,902,13.0950791,77.5159871,0.0005491488193300384,0.0
1740,Mithilesh Kumar,pediatrician,Bangalore,41,4.5,800,"MBBS, MD - Pediatrics",0.3679548904855178,0,903,12.912724982410982,77.67973871446961,0.0027457440966501922,0.0002433967645782281
2767,L Vijay Bhaskar,oncologist,Basavanagudi,25,3.5,1000,"MBBS, MD - Radiotherapy",0.36793952804085867,0,904,12.965645950024369,77.64177174634308,0.0005491488193300384,0.0
2766,L Vijay Bhaskar,oncologist,Basavanagudi,25,3.5,1000,"MBBS, MD - Radiotherapy",0.36793952804085867,0,904,12.89666,77.59855,0.0005491488193300384,0.0
3429,Sathwik R Shetty,neurosurgeon,Bangalore,22,3.5,1300,"MBBS, DNB - Neurosurgery",0.3677356188120364,0,906,12.95959,77.64937,0.0027457440966501922,3.7535475601940856e-06
1601,Nagaraju B A,pediatrician,KR Puram,19,3.5,800,"MBBS, MD - Pediatrics",0.36759378189835107,0,907,13.0160183,77.7007569,0.0008237232289950577,0.0
2495,Mahabaleswar,ophthalmologist,Koramangala,47,4.0,850,"MD - Ophthalmology, MBBS",0.36734882522324264,0,908,12.93393,77.61605,0.0013728720483250961,0.0
950,Manohar Babu K V,orthopedist,Bangalore,24,5.0,1000,"MBBS, MS - Orthopaedics",0.3673431343376762,0,909,12.91786,77.672289,0.0027457440966501922,0.0001623510339874652
3427,K M Bopanna,neurosurgeon,Bangalore,29,3.5,1300,"MBBS, DNB - Neurosurgery",0.3672749887572241,0,910,12.95959,77.64937,0.0027457440966501922,4.535718281941847e-06
702,Sachith Abraham,dermatologist,Koramangala,32,3.5,1300,"MD - Skin & VD, MBBS",0.3671679110008634,0,911,12.919958522657216,77.665283565548,0.0024711696869851732,7.345792844282271e-07
3244,Pallapoiu Vasavi,dentist,Bangalore,7,3.8,600,BDS,0.36713039577371,0,912,12.871487355514,77.766433721849,0.0027457440966501922,6.867788028175139e-05
411,B. Ramesh,cardiologist,Banashankari,39,3.5,1000,"DM - Cardiology, MD - General Medicine, MBBS",0.3670876302300047,0,913,12.89666,77.59855,0.0008237232289950577,0.0
2402,Surya Kant Choubey,urologist,Bangalore,33,4.0,900,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",0.366923555312437,0,914,12.919958522657216,77.665283565548,0.0027457440966501922,3.452978404914687e-05
3524,Deepashree.R,ayurveda,Jayanagar,23,4.3,350,MBBS,0.36683533505456606,0,915,12.9285689,77.582822,0.0013728720483250961,0.0
1526,Pramod Krishnan,neurologist,Bangalore,24,3.5,1300,"MBBS, MD - General Medicine, DM - Neurology",0.36676233400771335,0,916,12.95959,77.64937,0.0027457440966501922,4.022384687037256e-06
1527,Pramod Krishnan,neurologist,Bangalore,24,3.5,1300,"MBBS, MD - General Medicine, DM - Neurology",0.36676233400771335,0,916,12.9781484,77.6357908,0.0027457440966501922,3.6027807931131197e-06
2794,Vijay Agarwal,oncologist,Seshadripuram,20,3.5,1000,"MBBS, MD - General Medicine, CCT - Medical Oncology",0.36673923870318426,0,918,12.9878536,77.571869,0.0005491488193300384,0.0
2795,Vijay Agarwal,oncologist,Seshadripuram,20,3.5,1000,"MBBS, MD - General Medicine, CCT - Medical Oncology",0.36673923870318426,0,918,12.89666,77.59855,0.0005491488193300384,0.0
3571,Smitha Saikumar,ayurveda,Vijayanagar,17,5.0,1200,MBBS,0.36667618549282555,0,920,12.9827788663626,77.52073388546705,0.0002745744096650192,0.0
959,Bopanna.I.C,orthopedist,Bangalore,34,4.5,1000,MBBS,0.3664812427315213,0,921,12.988214877524,77.592170438025,0.0027457440966501922,0.00025793759475229176
